id,question,level,sql_code,train
F0026,"Quais as 30 escolas mais próximas da coordenada central de Palmas, com a distância em metros?",Fácil,"SELECT e.nm_entidade,
       ROUND(ST_Distance(e.geometry::geography, ST_SetSRID(ST_MakePoint(-48.3268, -10.1982), 4674)::geography)::numeric, 2) AS dist_m
FROM escola e
JOIN microdados_ed_basica md ON e.cd_entidade = md.cd_entidade
ORDER BY dist_m ASC
LIMIT 30;",1
F0027,"Quais as 50 escolas mais próximas da coordenada central de Campinas, com a distância em metros?",Fácil,"SELECT e.nm_entidade,
       ROUND(ST_Distance(e.geometry::geography, ST_SetSRID(ST_MakePoint(-47.0605, -22.9287), 4674)::geography)::numeric, 2) AS dist_m
FROM escola e
JOIN microdados_ed_basica md ON e.cd_entidade = md.cd_entidade
ORDER BY dist_m ASC
LIMIT 50;",1
F0028,Liste as escolas mais próximas do centro de São Luís com a distância em metros (as 50 primeiras).,Fácil,"SELECT e.nm_entidade,
       ROUND(ST_Distance(e.geometry::geography, ST_SetSRID(ST_MakePoint(-44.311, -2.5383), 4674)::geography)::numeric, 2) AS dist_m
FROM escola e
JOIN microdados_ed_basica md ON e.cd_entidade = md.cd_entidade
ORDER BY dist_m ASC
LIMIT 50;",1
F0029,Quais escolas estão a até 6 km de algum CREAS no município de Maceió?,Fácil,"SELECT e.nm_entidade
FROM escola e
JOIN creas cr ON ST_DWithin(e.geometry::geography, cr.geometry::geography, 6000)
WHERE cr.nm_mun = 'Maceió';",1
F0030,Liste escolas a no máximo 2 km de um CREAS em Curitiba.,Fácil,"SELECT e.nm_entidade
FROM escola e
JOIN creas cr ON ST_DWithin(e.geometry::geography, cr.geometry::geography, 2000)
WHERE cr.nm_mun = 'Curitiba';",1
F0031,Quais escolas estão a até 20 km de algum CRAS no município de Contagem?,Fácil,"SELECT e.nm_entidade
FROM escola e
JOIN cras c ON ST_DWithin(e.geometry::geography, c.geometry::geography, 20000)
WHERE c.nm_mun = 'Contagem';",1
F0032,Liste escolas a no máximo 12 km de um CRAS em Florianópolis.,Fácil,"SELECT e.nm_entidade
FROM escola e
JOIN cras c ON ST_DWithin(e.geometry::geography, c.geometry::geography, 12000)
WHERE c.nm_mun = 'Florianópolis';",1
F0033,Quais escolas estão a até 15 km de algum CRAS no município de João Pessoa?,Fácil,"SELECT e.nm_entidade
FROM escola e
JOIN cras c ON ST_DWithin(e.geometry::geography, c.geometry::geography, 15000)
WHERE c.nm_mun = 'João Pessoa';",1
F0034,Liste escolas a no máximo 2 km de um CREAS em João Pessoa.,Fácil,"SELECT e.nm_entidade
FROM escola e
JOIN creas cr ON ST_DWithin(e.geometry::geography, cr.geometry::geography, 2000)
WHERE cr.nm_mun = 'João Pessoa';",1
F0035,Liste escolas a no máximo 5 km de um CRAS em Rio de Janeiro.,Fácil,"SELECT e.nm_entidade
FROM escola e
JOIN cras c ON ST_DWithin(e.geometry::geography, c.geometry::geography, 5000)
WHERE c.nm_mun = 'Rio de Janeiro';",1
F0036,Quais escolas estão a até 3 km de algum CREAS no município de São Luís?,Fácil,"SELECT e.nm_entidade
FROM escola e
JOIN creas cr ON ST_DWithin(e.geometry::geography, cr.geometry::geography, 3000)
WHERE cr.nm_mun = 'São Luís';",1
F0037,Quais escolas estão a até 2 km de algum CREAS no município de Belém?,Fácil,"SELECT e.nm_entidade
FROM escola e
JOIN creas cr ON ST_DWithin(e.geometry::geography, cr.geometry::geography, 2000)
WHERE cr.nm_mun = 'Belém';",1
F0038,Quais escolas estão a até 20 km de algum CRAS no município de Belo Horizonte?,Fácil,"SELECT e.nm_entidade
FROM escola e
JOIN cras c ON ST_DWithin(e.geometry::geography, c.geometry::geography, 20000)
WHERE c.nm_mun = 'Belo Horizonte';",1
F0039,Quais escolas estão a até 2 km de algum CREAS no município de Contagem?,Fácil,"SELECT e.nm_entidade
FROM escola e
JOIN creas cr ON ST_DWithin(e.geometry::geography, cr.geometry::geography, 2000)
WHERE cr.nm_mun = 'Contagem';",1
F0040,Liste escolas a no máximo 12 km de um CRAS em Teresina.,Fácil,"SELECT e.nm_entidade
FROM escola e
JOIN cras c ON ST_DWithin(e.geometry::geography, c.geometry::geography, 12000)
WHERE c.nm_mun = 'Teresina';",1
F0041,Liste escolas a no máximo 20 km de um CRAS em Porto Alegre.,Fácil,"SELECT e.nm_entidade
FROM escola e
JOIN cras c ON ST_DWithin(e.geometry::geography, c.geometry::geography, 20000)
WHERE c.nm_mun = 'Porto Alegre';",1
F0042,Quais escolas estão a até 2 km de algum CREAS no município de Rio de Janeiro?,Fácil,"SELECT e.nm_entidade
FROM escola e
JOIN creas cr ON ST_DWithin(e.geometry::geography, cr.geometry::geography, 2000)
WHERE cr.nm_mun = 'Rio de Janeiro';",1
F0043,Qual a área aproximada (km²) da região central do município de Vitória?,Fácil,"SELECT mu.nm_mun, ROUND((ST_Area(ST_Transform(ST_Intersection(mu.geometry, ST_Buffer(ST_Centroid(mu.geometry), 0.1)), 5880)) / 1e6)::numeric, 2) AS area_inter_km2
FROM municipio mu
WHERE mu.nm_mun = 'Vitória';",1
F0044,Qual a área aproximada (km²) da região central do município de Belo Horizonte?,Fácil,"SELECT mu.nm_mun, ROUND((ST_Area(ST_Transform(ST_Intersection(mu.geometry, ST_Buffer(ST_Centroid(mu.geometry), 0.1)), 5880)) / 1e6)::numeric, 2) AS area_inter_km2
FROM municipio mu
WHERE mu.nm_mun = 'Belo Horizonte';",1
F0045,Qual a área aproximada (km²) da região central do município de Recife?,Fácil,"SELECT mu.nm_mun, ROUND((ST_Area(ST_Transform(ST_Intersection(mu.geometry, ST_Buffer(ST_Centroid(mu.geometry), 0.1)), 5880)) / 1e6)::numeric, 2) AS area_inter_km2
FROM municipio mu
WHERE mu.nm_mun = 'Recife';",1
F0046,Qual a área aproximada (km²) da região central do município de Belém?,Fácil,"SELECT mu.nm_mun, ROUND((ST_Area(ST_Transform(ST_Intersection(mu.geometry, ST_Buffer(ST_Centroid(mu.geometry), 0.1)), 5880)) / 1e6)::numeric, 2) AS area_inter_km2
FROM municipio mu
WHERE mu.nm_mun = 'Belém';",1
F0047,Qual a área aproximada (km²) da região central do município de Palmas?,Fácil,"SELECT mu.nm_mun, ROUND((ST_Area(ST_Transform(ST_Intersection(mu.geometry, ST_Buffer(ST_Centroid(mu.geometry), 0.1)), 5880)) / 1e6)::numeric, 2) AS area_inter_km2
FROM municipio mu
WHERE mu.nm_mun = 'Palmas';",1
F0048,Qual a área aproximada (km²) da região central do município de São Paulo?,Fácil,"SELECT mu.nm_mun, ROUND((ST_Area(ST_Transform(ST_Intersection(mu.geometry, ST_Buffer(ST_Centroid(mu.geometry), 0.1)), 5880)) / 1e6)::numeric, 2) AS area_inter_km2
FROM municipio mu
WHERE mu.nm_mun = 'São Paulo';",1
F0049,Qual a área aproximada (km²) da região central do município de Aracaju?,Fácil,"SELECT mu.nm_mun, ROUND((ST_Area(ST_Transform(ST_Intersection(mu.geometry, ST_Buffer(ST_Centroid(mu.geometry), 0.1)), 5880)) / 1e6)::numeric, 2) AS area_inter_km2
FROM municipio mu
WHERE mu.nm_mun = 'Aracaju';",1
F0050,Qual a área aproximada (km²) da região central do município de Fortaleza?,Fácil,"SELECT mu.nm_mun, ROUND((ST_Area(ST_Transform(ST_Intersection(mu.geometry, ST_Buffer(ST_Centroid(mu.geometry), 0.1)), 5880)) / 1e6)::numeric, 2) AS area_inter_km2
FROM municipio mu
WHERE mu.nm_mun = 'Fortaleza';",1
F0051,Qual a área aproximada (km²) da região central do município de Salvador?,Fácil,"SELECT mu.nm_mun, ROUND((ST_Area(ST_Transform(ST_Intersection(mu.geometry, ST_Buffer(ST_Centroid(mu.geometry), 0.1)), 5880)) / 1e6)::numeric, 2) AS area_inter_km2
FROM municipio mu
WHERE mu.nm_mun = 'Salvador';",1
F0052,Qual a área aproximada (km²) da região central do município de Manaus?,Fácil,"SELECT mu.nm_mun, ROUND((ST_Area(ST_Transform(ST_Intersection(mu.geometry, ST_Buffer(ST_Centroid(mu.geometry), 0.1)), 5880)) / 1e6)::numeric, 2) AS area_inter_km2
FROM municipio mu
WHERE mu.nm_mun = 'Manaus';",1
F0053,Qual a área aproximada (km²) da região central do município de Uberlândia?,Fácil,"SELECT mu.nm_mun, ROUND((ST_Area(ST_Transform(ST_Intersection(mu.geometry, ST_Buffer(ST_Centroid(mu.geometry), 0.1)), 5880)) / 1e6)::numeric, 2) AS area_inter_km2
FROM municipio mu
WHERE mu.nm_mun = 'Uberlândia';",1
F0054,Qual a área aproximada (km²) da região central do município de Campo Grande?,Fácil,"SELECT mu.nm_mun, ROUND((ST_Area(ST_Transform(ST_Intersection(mu.geometry, ST_Buffer(ST_Centroid(mu.geometry), 0.1)), 5880)) / 1e6)::numeric, 2) AS area_inter_km2
FROM municipio mu
WHERE mu.nm_mun = 'Campo Grande';",1
F0055,Qual a área aproximada (km²) da região central do município de Porto Alegre?,Fácil,"SELECT mu.nm_mun, ROUND((ST_Area(ST_Transform(ST_Intersection(mu.geometry, ST_Buffer(ST_Centroid(mu.geometry), 0.1)), 5880)) / 1e6)::numeric, 2) AS area_inter_km2
FROM municipio mu
WHERE mu.nm_mun = 'Porto Alegre';",1
F0056,Qual a área aproximada (km²) da região central do município de Florianópolis?,Fácil,"SELECT mu.nm_mun, ROUND((ST_Area(ST_Transform(ST_Intersection(mu.geometry, ST_Buffer(ST_Centroid(mu.geometry), 0.1)), 5880)) / 1e6)::numeric, 2) AS area_inter_km2
FROM municipio mu
WHERE mu.nm_mun = 'Florianópolis';",1
F0057,Quais escolas estão a até 6 km do centro de Contagem?,Fácil,"SELECT e.nm_entidade
FROM escola e
WHERE ST_Intersects(ST_Buffer(ST_SetSRID(ST_MakePoint(-44.0528, -19.9497), 4674)::geography, 6000), e.geometry::geography);",1
F0058,Quais escolas estão a até 8 km do centro de Porto Alegre?,Fácil,"SELECT e.nm_entidade
FROM escola e
WHERE ST_Intersects(ST_Buffer(ST_SetSRID(ST_MakePoint(-51.2369, -30.0323), 4674)::geography, 8000), e.geometry::geography);",1
F0059,Quais escolas estão a até 3 km do centro de São Luís?,Fácil,"SELECT e.nm_entidade
FROM escola e
WHERE ST_Intersects(ST_Buffer(ST_SetSRID(ST_MakePoint(-44.3154, -2.5245), 4674)::geography, 3000), e.geometry::geography);",1
F0060,Quais escolas estão a até 5 km do centro de Manaus?,Fácil,"SELECT e.nm_entidade
FROM escola e
WHERE ST_Intersects(ST_Buffer(ST_SetSRID(ST_MakePoint(-60.032, -3.1192), 4674)::geography, 5000), e.geometry::geography);",1
F0061,Quais escolas estão a até 8 km do centro de Maceió?,Fácil,"SELECT e.nm_entidade
FROM escola e
WHERE ST_Intersects(ST_Buffer(ST_SetSRID(ST_MakePoint(-35.7335, -9.6636), 4674)::geography, 8000), e.geometry::geography);",1
F0062,Quais escolas estão a até 12 km do centro de São Luís?,Fácil,"SELECT e.nm_entidade
FROM escola e
WHERE ST_Intersects(ST_Buffer(ST_SetSRID(ST_MakePoint(-44.3005, -2.5291), 4674)::geography, 12000), e.geometry::geography);",1
F0063,Quais escolas estão a até 12 km do centro de Uberlândia?,Fácil,"SELECT e.nm_entidade
FROM escola e
WHERE ST_Intersects(ST_Buffer(ST_SetSRID(ST_MakePoint(-48.2844, -18.9099), 4674)::geography, 12000), e.geometry::geography);",1
F0064,Quais escolas estão a até 12 km do centro de Goiânia?,Fácil,"SELECT e.nm_entidade
FROM escola e
WHERE ST_Intersects(ST_Buffer(ST_SetSRID(ST_MakePoint(-49.2367, -16.6743), 4674)::geography, 12000), e.geometry::geography);",1
F0065,Quais escolas estão a até 6 km do centro de Vitória?,Fácil,"SELECT e.nm_entidade
FROM escola e
WHERE ST_Intersects(ST_Buffer(ST_SetSRID(ST_MakePoint(-40.3452, -20.3263), 4674)::geography, 6000), e.geometry::geography);",1
F0066,Quais escolas estão a até 3 km do centro de Manaus?,Fácil,"SELECT e.nm_entidade
FROM escola e
WHERE ST_Intersects(ST_Buffer(ST_SetSRID(ST_MakePoint(-60.0363, -3.0928), 4674)::geography, 3000), e.geometry::geography);",1
F0067,Quais escolas estão a até 12 km do centro de Belo Horizonte?,Fácil,"SELECT e.nm_entidade
FROM escola e
WHERE ST_Intersects(ST_Buffer(ST_SetSRID(ST_MakePoint(-43.9377, -19.913), 4674)::geography, 12000), e.geometry::geography);",1
F0068,Quais escolas estão a até 2 km do centro de Palmas?,Fácil,"SELECT e.nm_entidade
FROM escola e
WHERE ST_Intersects(ST_Buffer(ST_SetSRID(ST_MakePoint(-48.3314, -10.1896), 4674)::geography, 2000), e.geometry::geography);",1
F0069,Quais escolas estão a até 20 km do centro de Cuiabá?,Fácil,"SELECT e.nm_entidade
FROM escola e
WHERE ST_Intersects(ST_Buffer(ST_SetSRID(ST_MakePoint(-56.0989, -15.6178), 4674)::geography, 20000), e.geometry::geography);",1
F0070,Quais escolas estão a até 12 km do centro de Cuiabá?,Fácil,"SELECT e.nm_entidade
FROM escola e
WHERE ST_Intersects(ST_Buffer(ST_SetSRID(ST_MakePoint(-56.0956, -15.5849), 4674)::geography, 12000), e.geometry::geography);",1
F0071,Quais municípios de Pará têm área menor ou igual a 500 km²?,Fácil,"SELECT mu.nm_mun, ROUND((ST_Area(ST_Transform(mu.geometry, 5880)) / 1e6)::numeric, 2) AS area_km2
FROM municipio mu
JOIN unidade_federativa uf ON mu.cd_uf = uf.cd_uf
WHERE uf.nm_uf = 'Pará' AND ST_Area(ST_Transform(mu.geometry, 5880)) / 1e6 <= 500
ORDER BY area_km2;",1
F0072,Quais municípios de Acre têm área menor ou igual a 400 km²?,Fácil,"SELECT mu.nm_mun, ROUND((ST_Area(ST_Transform(mu.geometry, 5880)) / 1e6)::numeric, 2) AS area_km2
FROM municipio mu
JOIN unidade_federativa uf ON mu.cd_uf = uf.cd_uf
WHERE uf.nm_uf = 'Acre' AND ST_Area(ST_Transform(mu.geometry, 5880)) / 1e6 <= 400
ORDER BY area_km2;",1
F0073,Quais municípios de Rio Grande do Norte têm área menor ou igual a 120 km²?,Fácil,"SELECT mu.nm_mun, ROUND((ST_Area(ST_Transform(mu.geometry, 5880)) / 1e6)::numeric, 2) AS area_km2
FROM municipio mu
JOIN unidade_federativa uf ON mu.cd_uf = uf.cd_uf
WHERE uf.nm_uf = 'Rio Grande do Norte' AND ST_Area(ST_Transform(mu.geometry, 5880)) / 1e6 <= 120
ORDER BY area_km2;",1
F0074,Quais municípios de Pará têm área menor ou igual a 80 km²?,Fácil,"SELECT mu.nm_mun, ROUND((ST_Area(ST_Transform(mu.geometry, 5880)) / 1e6)::numeric, 2) AS area_km2
FROM municipio mu
JOIN unidade_federativa uf ON mu.cd_uf = uf.cd_uf
WHERE uf.nm_uf = 'Pará' AND ST_Area(ST_Transform(mu.geometry, 5880)) / 1e6 <= 80
ORDER BY area_km2;",1
F0075,Quais municípios de Paraná têm área menor ou igual a 200 km²?,Fácil,"SELECT mu.nm_mun, ROUND((ST_Area(ST_Transform(mu.geometry, 5880)) / 1e6)::numeric, 2) AS area_km2
FROM municipio mu
JOIN unidade_federativa uf ON mu.cd_uf = uf.cd_uf
WHERE uf.nm_uf = 'Paraná' AND ST_Area(ST_Transform(mu.geometry, 5880)) / 1e6 <= 200
ORDER BY area_km2;",1
F0076,Quais municípios de Amapá têm área menor ou igual a 150 km²?,Fácil,"SELECT mu.nm_mun, ROUND((ST_Area(ST_Transform(mu.geometry, 5880)) / 1e6)::numeric, 2) AS area_km2
FROM municipio mu
JOIN unidade_federativa uf ON mu.cd_uf = uf.cd_uf
WHERE uf.nm_uf = 'Amapá' AND ST_Area(ST_Transform(mu.geometry, 5880)) / 1e6 <= 150
ORDER BY area_km2;",1
F0077,Quais municípios de Goiás têm área menor ou igual a 100 km²?,Fácil,"SELECT mu.nm_mun, ROUND((ST_Area(ST_Transform(mu.geometry, 5880)) / 1e6)::numeric, 2) AS area_km2
FROM municipio mu
JOIN unidade_federativa uf ON mu.cd_uf = uf.cd_uf
WHERE uf.nm_uf = 'Goiás' AND ST_Area(ST_Transform(mu.geometry, 5880)) / 1e6 <= 100
ORDER BY area_km2;",1
F0078,Quais municípios de Goiás têm área menor ou igual a 250 km²?,Fácil,"SELECT mu.nm_mun, ROUND((ST_Area(ST_Transform(mu.geometry, 5880)) / 1e6)::numeric, 2) AS area_km2
FROM municipio mu
JOIN unidade_federativa uf ON mu.cd_uf = uf.cd_uf
WHERE uf.nm_uf = 'Goiás' AND ST_Area(ST_Transform(mu.geometry, 5880)) / 1e6 <= 250
ORDER BY area_km2;",1
F0079,Quais municípios de Mato Grosso têm área menor ou igual a 300 km²?,Fácil,"SELECT mu.nm_mun, ROUND((ST_Area(ST_Transform(mu.geometry, 5880)) / 1e6)::numeric, 2) AS area_km2
FROM municipio mu
JOIN unidade_federativa uf ON mu.cd_uf = uf.cd_uf
WHERE uf.nm_uf = 'Mato Grosso' AND ST_Area(ST_Transform(mu.geometry, 5880)) / 1e6 <= 300
ORDER BY area_km2;",1
F0080,Quais municípios de Maranhão têm área menor ou igual a 150 km²?,Fácil,"SELECT mu.nm_mun, ROUND((ST_Area(ST_Transform(mu.geometry, 5880)) / 1e6)::numeric, 2) AS area_km2
FROM municipio mu
JOIN unidade_federativa uf ON mu.cd_uf = uf.cd_uf
WHERE uf.nm_uf = 'Maranhão' AND ST_Area(ST_Transform(mu.geometry, 5880)) / 1e6 <= 150
ORDER BY area_km2;",1
F0081,Quais municípios de Acre têm área menor ou igual a 120 km²?,Fácil,"SELECT mu.nm_mun, ROUND((ST_Area(ST_Transform(mu.geometry, 5880)) / 1e6)::numeric, 2) AS area_km2
FROM municipio mu
JOIN unidade_federativa uf ON mu.cd_uf = uf.cd_uf
WHERE uf.nm_uf = 'Acre' AND ST_Area(ST_Transform(mu.geometry, 5880)) / 1e6 <= 120
ORDER BY area_km2;",1
F0082,Quais municípios de Maranhão têm área menor ou igual a 250 km²?,Fácil,"SELECT mu.nm_mun, ROUND((ST_Area(ST_Transform(mu.geometry, 5880)) / 1e6)::numeric, 2) AS area_km2
FROM municipio mu
JOIN unidade_federativa uf ON mu.cd_uf = uf.cd_uf
WHERE uf.nm_uf = 'Maranhão' AND ST_Area(ST_Transform(mu.geometry, 5880)) / 1e6 <= 250
ORDER BY area_km2;",1
F0083,Quais municípios de Maranhão têm área menor ou igual a 100 km²?,Fácil,"SELECT mu.nm_mun, ROUND((ST_Area(ST_Transform(mu.geometry, 5880)) / 1e6)::numeric, 2) AS area_km2
FROM municipio mu
JOIN unidade_federativa uf ON mu.cd_uf = uf.cd_uf
WHERE uf.nm_uf = 'Maranhão' AND ST_Area(ST_Transform(mu.geometry, 5880)) / 1e6 <= 100
ORDER BY area_km2;",1
